datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,sunrise_encoded,sunset_encoded
2014-01-01,51.0,44.1,47.1,42.8,85.1,0.072,100.0,16.67,0.0,0.0,40.5,18.0,176.2,1006.2,97.4,15.4,15.8,1.5,1,0.0,1388565850.0,1388595862.0
2014-01-02,51.9,47.3,49.8,44.3,81.6,0.085,100.0,20.83,0.0,0.0,37.4,18.1,196.6,1001.7,77.3,15.1,45.9,3.9,2,0.03,1388652247.0,1388682322.0
2014-01-03,56.1,47.3,51.9,44.6,76.5,0.006,100.0,4.17,0.0,0.0,39.8,18.1,198.1,1006.0,75.0,12.7,41.7,3.6,2,0.07,1388738641.0,1388768785.0
2014-01-04,54.3,45.6,48.5,42.7,80.5,0.026,100.0,8.33,0.0,0.0,28.4,13.3,178.0,1001.5,85.7,13.4,32.2,2.8,1,0.1,1388825032.0,1388855249.0
2014-01-05,48.0,40.2,44.5,39.5,82.8,0.05,100.0,12.5,0.0,0.0,32.6,14.2,187.9,1007.5,83.6,14.9,38.7,3.4,2,0.14,1388911419.0,1388941716.0
2014-01-06,55.7,47.2,53.2,48.3,83.6,0.014,100.0,29.17,0.0,0.0,37.0,16.9,190.0,1006.7,96.6,15.0,35.0,3.0,2,0.17,1388997804.0,1389028186.0
2014-01-07,55.7,49.5,52.1,47.0,83.0,0.001,100.0,4.17,0.0,0.0,25.3,13.3,185.9,1013.3,90.5,14.9,22.8,2.0,1,0.2,1389084186.0,1389114657.0
2014-01-08,56.7,46.9,52.0,47.6,85.0,0.017,100.0,16.67,0.0,0.0,20.7,10.8,179.6,1017.9,77.4,14.1,37.3,3.3,2,0.25,1389170565.0,1389201130.0
2014-01-09,52.7,44.5,50.6,44.5,79.6,0.008,100.0,4.17,0.0,0.0,31.3,15.4,211.6,1013.5,88.0,15.5,15.9,1.5,1,0.27,1389256941.0,1389287605.0
2014-01-10,44.6,40.2,42.6,39.9,90.2,0.0,0.0,0.0,0.0,0.0,14.0,7.0,181.0,1019.0,84.3,9.9,23.8,2.1,1,0.31,1389343314.0,1389374082.0
2014-01-11,47.6,38.6,43.5,41.7,93.3,0.015,100.0,20.83,0.0,0.0,15.1,6.5,266.0,1020.2,73.0,4.6,50.9,4.4,3,0.34,1389429684.0,1389460560.0
2014-01-12,43.7,36.0,39.7,38.9,96.9,0.0,0.0,0.0,0.0,0.0,18.7,9.2,123.2,1021.1,93.9,2.5,23.7,2.1,1,0.37,1389516051.0,1389547041.0
2014-01-13,50.3,43.0,46.0,42.6,88.2,0.024,100.0,4.17,0.0,0.0,20.8,8.7,186.9,1012.2,75.4,11.6,53.4,4.6,2,0.41,1389602416.0,1389633522.0
2014-01-14,46.3,37.5,42.3,36.8,81.2,0.012,100.0,20.83,0.0,0.0,25.7,12.0,223.0,1007.2,66.2,13.8,48.8,4.2,3,0.44,1389688777.0,1389720006.0
2014-01-15,47.5,37.3,42.4,40.7,93.6,0.085,100.0,41.67,0.0,0.0,24.8,11.5,174.3,1007.9,97.6,8.6,8.9,0.8,1,0.47,1389775136.0,1389806490.0
2014-01-16,49.2,46.3,47.3,44.2,89.0,0.097,100.0,37.5,0.0,0.0,28.5,14.2,184.6,999.5,96.2,13.8,38.4,3.4,2,0.5,1389861493.0,1389892977.0
2014-01-17,52.5,43.1,46.5,39.7,77.3,0.026,100.0,8.33,0.0,0.0,34.9,15.3,178.5,999.1,78.5,16.7,50.2,4.1,3,0.54,1389947846.0,1389979464.0
2014-01-18,51.5,38.7,44.4,37.4,76.9,0.0,0.0,0.0,0.0,0.0,14.8,8.3,129.9,996.5,87.2,14.8,61.6,5.4,3,0.58,1390034197.0,1390065953.0
2014-01-19,48.8,43.7,45.4,41.1,85.3,0.052,100.0,12.5,0.0,0.0,11.3,5.7,210.4,997.3,93.6,10.9,42.6,3.7,2,0.61,1390120546.0,1390152442.0
2014-01-20,45.5,41.5,43.8,38.6,81.9,0.027,100.0,12.5,0.0,0.0,14.6,7.5,312.2,1007.6,95.0,11.9,50.1,4.4,2,0.64,1390206892.0,1390238933.0
2014-01-21,40.1,35.3,37.5,35.3,91.6,0.0,0.0,0.0,0.0,0.0,19.1,10.3,196.4,1014.4,84.0,8.3,31.1,2.7,1,0.68,1390293235.0,1390325425.0
2014-01-22,40.4,34.3,37.8,34.8,89.0,0.053,100.0,25.0,0.0,0.0,19.0,10.0,146.7,1011.9,96.3,8.9,33.4,2.8,2,0.71,1390379576.0,1390411918.0
2014-01-23,47.6,40.1,43.4,40.3,89.3,0.067,100.0,33.33,0.0,0.0,25.9,12.0,245.6,1015.4,93.5,10.0,48.8,4.4,3,0.75,1390465914.0,1390498411.0
2014-01-24,45.5,40.3,42.5,37.6,82.7,0.0,0.0,0.0,0.0,0.0,16.6,7.7,185.5,1016.9,94.8,16.2,21.7,2.0,1,0.75,1390552251.0,1390584905.0
2014-01-25,49.7,37.8,41.9,38.5,87.9,0.034,100.0,25.0,0.0,0.0,33.3,12.1,186.6,1017.6,97.3,10.6,21.7,2.0,1,0.81,1390638585.0,1390671400.0
2014-01-26,50.2,39.9,44.7,39.6,82.9,0.166,100.0,29.17,0.0,0.0,33.8,17.1,221.9,1009.7,80.3,12.1,19.4,1.7,1,0.85,1390724916.0,1390757896.0
2014-01-27,45.9,38.1,41.2,34.4,76.8,0.013,100.0,12.5,0.0,0.0,35.3,14.9,223.2,998.8,77.6,24.3,49.2,4.2,2,0.88,1390811246.0,1390844393.0
2014-01-28,44.5,36.9,40.9,37.1,86.3,0.025,100.0,12.5,0.0,0.0,27.1,12.0,171.0,994.5,97.3,18.7,37.7,3.3,2,0.92,1390897573.0,1390930889.0
2014-01-29,41.8,38.5,40.2,37.5,90.2,0.108,100.0,37.5,0.0,0.0,22.8,10.5,117.2,992.9,99.0,11.5,23.1,1.8,1,0.95,1390983898.0,1391017387.0
2014-01-30,44.4,39.9,42.1,39.5,90.6,0.002,100.0,8.33,0.0,0.0,11.2,6.3,152.2,1002.8,96.4,8.9,68.4,6.0,3,0.0,1391070221.0,1391103885.0
2014-01-31,47.0,34.7,41.0,37.2,86.9,0.071,100.0,4.17,0.0,0.0,30.2,14.6,165.7,1006.2,77.1,7.6,42.4,3.6,2,0.02,1391156542.0,1391190383.0
2014-02-01,48.2,41.1,44.8,39.1,81.1,0.267,100.0,33.33,0.0,0.0,34.6,16.3,196.4,1000.0,75.9,12.8,53.1,4.6,3,0.05,1391242861.0,1391276881.0
2014-02-02,49.6,35.7,41.3,35.8,81.3,0.0,0.0,0.0,0.0,0.0,19.7,9.9,188.0,1012.5,22.3,14.2,82.8,7.0,4,0.08,1391329178.0,1391363380.0
